,name,path,sha,size,url,html_url,git_url,download_url,type,_links
28,examples,examples,d85600300d16529233429f3c979aeb387cd35e66,0,https://api.github.com/repos/vercel/next.js/contents/examples?ref=canary,https://github.com/vercel/next.js/tree/canary/examples,https://api.github.com/repos/vercel/next.js/git/trees/d85600300d16529233429f3c979aeb387cd35e66,,dir,"{'self': 'https://api.github.com/repos/vercel/next.js/contents/examples?ref=canary', 'git': 'https://api.github.com/repos/vercel/next.js/git/trees/d85600300d16529233429f3c979aeb387cd35e66', 'html': 'https://github.com/vercel/next.js/tree/canary/examples'}"
29,jest.config.js,jest.config.js,f2f3609b8fd2d72728d7736677d0e2de227fb3e5,1763,https://api.github.com/repos/vercel/next.js/contents/jest.config.js?ref=canary,https://github.com/vercel/next.js/blob/canary/jest.config.js,https://api.github.com/repos/vercel/next.js/git/blobs/f2f3609b8fd2d72728d7736677d0e2de227fb3e5,https://raw.githubusercontent.com/vercel/next.js/canary/jest.config.js,file,"{'self': 'https://api.github.com/repos/vercel/next.js/contents/jest.config.js?ref=canary', 'git': 'https://api.github.com/repos/vercel/next.js/git/blobs/f2f3609b8fd2d72728d7736677d0e2de227fb3e5', 'html': 'https://github.com/vercel/next.js/blob/canary/jest.config.js'}"
30,jest.replay.config.js,jest.replay.config.js,23a8c1c76f945d595c6a79420d772aa5baeaa4a4,635,https://api.github.com/repos/vercel/next.js/contents/jest.replay.config.js?ref=canary,https://github.com/vercel/next.js/blob/canary/jest.replay.config.js,https://api.github.com/repos/vercel/next.js/git/blobs/23a8c1c76f945d595c6a79420d772aa5baeaa4a4,https://raw.githubusercontent.com/vercel/next.js/canary/jest.replay.config.js,file,"{'self': 'https://api.github.com/repos/vercel/next.js/contents/jest.replay.config.js?ref=canary', 'git': 'https://api.github.com/repos/vercel/next.js/git/blobs/23a8c1c76f945d595c6a79420d772aa5baeaa4a4', 'html': 'https://github.com/vercel/next.js/blob/canary/jest.replay.config.js'}"
31,lerna.json,lerna.json,11585a1bdacd9ebc89db3a6a7c5a390705363569,332,https://api.github.com/repos/vercel/next.js/contents/lerna.json?ref=canary,https://github.com/vercel/next.js/blob/canary/lerna.json,https://api.github.com/repos/vercel/next.js/git/blobs/11585a1bdacd9ebc89db3a6a7c5a390705363569,https://raw.githubusercontent.com/vercel/next.js/canary/lerna.json,file,"{'self': 'https://api.github.com/repos/vercel/next.js/contents/lerna.json?ref=canary', 'git': 'https://api.github.com/repos/vercel/next.js/git/blobs/11585a1bdacd9ebc89db3a6a7c5a390705363569', 'html': 'https://github.com/vercel/next.js/blob/canary/lerna.json'}"
32,license.md,license.md,ec9dcd99d17b0151c0671888d4493f8d096af451,1079,https://api.github.com/repos/vercel/next.js/contents/license.md?ref=canary,https://github.com/vercel/next.js/blob/canary/license.md,https://api.github.com/repos/vercel/next.js/git/blobs/ec9dcd99d17b0151c0671888d4493f8d096af451,https://raw.githubusercontent.com/vercel/next.js/canary/license.md,file,"{'self': 'https://api.github.com/repos/vercel/next.js/contents/license.md?ref=canary', 'git': 'https://api.github.com/repos/vercel/next.js/git/blobs/ec9dcd99d17b0151c0671888d4493f8d096af451', 'html': 'https://github.com/vercel/next.js/blob/canary/license.md'}"
33,lint-staged.config.js,lint-staged.config.js,167eaaaa0fa0d32016168aa90fde264e108f4d18,306,https://api.github.com/repos/vercel/next.js/contents/lint-staged.config.js?ref=canary,https://github.com/vercel/next.js/blob/canary/lint-staged.config.js,https://api.github.com/repos/vercel/next.js/git/blobs/167eaaaa0fa0d32016168aa90fde264e108f4d18,https://raw.githubusercontent.com/vercel/next.js/canary/lint-staged.config.js,file,"{'self': 'https://api.github.com/repos/vercel/next.js/contents/lint-staged.config.js?ref=canary', 'git': 'https://api.github.com/repos/vercel/next.js/git/blobs/167eaaaa0fa0d32016168aa90fde264e108f4d18', 'html': 'https://github.com/vercel/next.js/blob/canary/lint-staged.config.js'}"
34,package.json,package.json,07c9d84f46acdb4e30dfd66a678c2e885a0f73dc,10778,https://api.github.com/repos/vercel/next.js/contents/package.json?ref=canary,https://github.com/vercel/next.js/blob/canary/package.json,https://api.github.com/repos/vercel/next.js/git/blobs/07c9d84f46acdb4e30dfd66a678c2e885a0f73dc,https://raw.githubusercontent.com/vercel/next.js/canary/package.json,file,"{'self': 'https://api.github.com/repos/vercel/next.js/contents/package.json?ref=canary', 'git': 'https://api.github.com/repos/vercel/next.js/git/blobs/07c9d84f46acdb4e30dfd66a678c2e885a0f73dc', 'html': 'https://github.com/vercel/next.js/blob/canary/package.json'}"
35,packages,packages,f557d3eaf4a330874219217dc312f978abb6f796,0,https://api.github.com/repos/vercel/next.js/contents/packages?ref=canary,https://github.com/vercel/next.js/tree/canary/packages,https://api.github.com/repos/vercel/next.js/git/trees/f557d3eaf4a330874219217dc312f978abb6f796,,dir,"{'self': 'https://api.github.com/repos/vercel/next.js/contents/packages?ref=canary', 'git': 'https://api.github.com/repos/vercel/next.js/git/trees/f557d3eaf4a330874219217dc312f978abb6f796', 'html': 'https://github.com/vercel/next.js/tree/canary/packages'}"
36,patches,patches,d93886c5c367de8caa5de9c2aab297da03ff3cfa,0,https://api.github.com/repos/vercel/next.js/contents/patches?ref=canary,https://github.com/vercel/next.js/tree/canary/patches,https://api.github.com/repos/vercel/next.js/git/trees/d93886c5c367de8caa5de9c2aab297da03ff3cfa,,dir,"{'self': 'https://api.github.com/repos/vercel/next.js/contents/patches?ref=canary', 'git': 'https://api.github.com/repos/vercel/next.js/git/trees/d93886c5c367de8caa5de9c2aab297da03ff3cfa', 'html': 'https://github.com/vercel/next.js/tree/canary/patches'}"
37,pnpm-lock.yaml,pnpm-lock.yaml,67527c3d04f906250ef0442103443f406f20a2c0,911833,https://api.github.com/repos/vercel/next.js/contents/pnpm-lock.yaml?ref=canary,https://github.com/vercel/next.js/blob/canary/pnpm-lock.yaml,https://api.github.com/repos/vercel/next.js/git/blobs/67527c3d04f906250ef0442103443f406f20a2c0,https://raw.githubusercontent.com/vercel/next.js/canary/pnpm-lock.yaml,file,"{'self': 'https://api.github.com/repos/vercel/next.js/contents/pnpm-lock.yaml?ref=canary', 'git': 'https://api.github.com/repos/vercel/next.js/git/blobs/67527c3d04f906250ef0442103443f406f20a2c0', 'html': 'https://github.com/vercel/next.js/blob/canary/pnpm-lock.yaml'}"
38,pnpm-workspace.yaml,pnpm-workspace.yaml,9507311d183de6f4751e14ccbfcaa703e7bc269f,85,https://api.github.com/repos/vercel/next.js/contents/pnpm-workspace.yaml?ref=canary,https://github.com/vercel/next.js/blob/canary/pnpm-workspace.yaml,https://api.github.com/repos/vercel/next.js/git/blobs/9507311d183de6f4751e14ccbfcaa703e7bc269f,https://raw.githubusercontent.com/vercel/next.js/canary/pnpm-workspace.yaml,file,"{'self': 'https://api.github.com/repos/vercel/next.js/contents/pnpm-workspace.yaml?ref=canary', 'git': 'https://api.github.com/repos/vercel/next.js/git/blobs/9507311d183de6f4751e14ccbfcaa703e7bc269f', 'html': 'https://github.com/vercel/next.js/blob/canary/pnpm-workspace.yaml'}"
39,readme.md,readme.md,29e4f3032d3dd24eb12f0381e288e4dc033e0845,23,https://api.github.com/repos/vercel/next.js/contents/readme.md?ref=canary,https://github.com/vercel/next.js/blob/canary/readme.md,https://api.github.com/repos/vercel/next.js/git/blobs/29e4f3032d3dd24eb12f0381e288e4dc033e0845,https://raw.githubusercontent.com/vercel/next.js/canary/readme.md,file,"{'self': 'https://api.github.com/repos/vercel/next.js/contents/readme.md?ref=canary', 'git': 'https://api.github.com/repos/vercel/next.js/git/blobs/29e4f3032d3dd24eb12f0381e288e4dc033e0845', 'html': 'https://github.com/vercel/next.js/blob/canary/readme.md'}"
40,release.js,release.js,ba4f2a58217cb3caa2f612ec6d1e23644bc24906,3695,https://api.github.com/repos/vercel/next.js/contents/release.js?ref=canary,https://github.com/vercel/next.js/blob/canary/release.js,https://api.github.com/repos/vercel/next.js/git/blobs/ba4f2a58217cb3caa2f612ec6d1e23644bc24906,https://raw.githubusercontent.com/vercel/next.js/canary/release.js,file,"{'self': 'https://api.github.com/repos/vercel/next.js/contents/release.js?ref=canary', 'git': 'https://api.github.com/repos/vercel/next.js/git/blobs/ba4f2a58217cb3caa2f612ec6d1e23644bc24906', 'html': 'https://github.com/vercel/next.js/blob/canary/release.js'}"
41,run-tests.js,run-tests.js,412f429ee16bfd2787773c5ff902f2702e8f19c3,23161,https://api.github.com/repos/vercel/next.js/contents/run-tests.js?ref=canary,https://github.com/vercel/next.js/blob/canary/run-tests.js,https://api.github.com/repos/vercel/next.js/git/blobs/412f429ee16bfd2787773c5ff902f2702e8f19c3,https://raw.githubusercontent.com/vercel/next.js/canary/run-tests.js,file,"{'self': 'https://api.github.com/repos/vercel/next.js/contents/run-tests.js?ref=canary', 'git': 'https://api.github.com/repos/vercel/next.js/git/blobs/412f429ee16bfd2787773c5ff902f2702e8f19c3', 'html': 'https://github.com/vercel/next.js/blob/canary/run-tests.js'}"
